Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
18,2017-12-31,11667845186.3,9407678315.89,2260166870.41,507863179.08
18,2018-06-30,11025565646.45,8704276401.08,2321289245.37,-16728436.26
19,2014-06-30,1402346193.23,450026540.95,952319652.28,-25936967.05
19,2014-12-31,1154612267.59,160973937.51,993638330.08,11418243.44
19,2015-06-30,1107604723.34,105141586.7,1002463136.64,1336209.28
19,2015-12-31,1060458757.46,103320748.37,957138009.09,-48234424.41
19,2016-06-30,1047312328.49,111073157.45,936239171.04,-25809361.48
19,2016-12-31,1178543725.3,128805162.44,1049738562.86,94177768.53
19,2017-06-30,1121549159.24,114968643.63,1006580515.61,-21509006.38
19,2017-12-31,1070386220.55,107232890.29,963153330.26,-57180665.35
19,2018-06-30,1040484135.2,96556623.59,943927511.61,-18090617.03
20,2014-06-30,1187640332.71,912520746.31,275119586.4,1541546.15
20,2014-12-31,1162740984.93,881389715.19,281351269.74,4746535.78
20,2015-06-30,1172778771.75,877250190.98,295528580.77,12974564.43
20,2015-12-31,1154989593.34,841052363.64,313937229.7,-2926167.55
20,2016-06-30,619748378.14,301068859.72,318679518.42,8201759.85
20,2016-12-31,632475542.4,312776973.77,319698568.63,8390973.58
20,2017-06-30,683400353.73,361555313.1,321845040.63,1977857.97
20,2017-12-31,629762731.38,309089753.36,320672978.02,5317858.14
20,2018-06-30,593599038.57,270132926.95,323466111.62,2542109.7
21,2014-06-30,14459189353.51,9566066853.24,4893122500.27,-4076312.5
21,2014-12-31,14450420809.11,9391399357.39,5059021451.72,259746573.82
21,2015-06-30,14318067899.3,9083686920.3,5234380979.0,159411477.07
21,2015-12-31,14337515272.47,9131834479.71,5205680792.76,197691231.09
21,2016-06-30,10472636664.46,5151101949.84,5321534714.62,298836384.87
21,2016-12-31,11717371549.69,6420043128.75,5297328420.94,338822133.58
21,2017-06-30,14697448020.42,8967181740.58,5730266279.84,383655730.72
21,2017-12-31,16599483730.27,10670724236.67,5928759493.6,733982956.05
21,2018-06-30,14882434069.89,8938522117.55,5943911952.34,230328592.11
22,2014-06-30,7470426613.37,2703614277.06,4766812336.31,338134354.99
22,2014-12-31,6935824199.68,2060224599.25,4875599600.43,671869131.28
22,2015-06-30,6711610325.63,1732334564.05,4979275761.58,343752047.99
22,2015-12-31,6913772876.99,1684462446.87,5229310430.12,728101560.44
22,2016-06-30,6626761280.09,1323717613.59,5303043666.5,382293914.43
22,2016-12-31,6620476709.79,983482973.37,5636993736.42,768119429.62
22,2017-06-30,6784421548.53,1141203393.43,5643218155.1,377476971.19
22,2017-12-31,7975470563.32,1408427653.69,6567042909.63,867552235.65
22,2018-06-30,7028586133.86,1731540984.77,5297045149.09,519407416.81
23,2014-06-30,1328219798.35,919398754.79,408821043.56,-297009.65
23,2014-12-31,1474001953.01,1049438615.31,424563337.7,22856486.03
23,2015-06-30,1459989243.53,1029971173.88,430018069.65,16015594.28
23,2015-12-31,1565865589.96,1119314056.29,446551533.67,52897279.5
23,2016-06-30,1500671651.13,1051238837.99,449432813.14,14766534.14
23,2016-12-31,1513965158.57,1058360940.93,455604217.64,19195204.53
23,2017-06-30,1715007186.37,1247839425.24,467167761.13,2611242.2
23,2017-12-31,1951619399.48,1472820711.2,478798688.28,21918231.76
23,2018-06-30,1965822392.59,1497592051.76,468230340.83,121197.34
24,2014-06-30,140954002966.06,101405884984.49,39548117981.57,3344797445.05
24,2014-12-31,151692365118.58,107945586005.93,43746779112.65,8308411057.81
24,2015-06-30,168809263726.54,121410433740.48,47398829986.06,3469043559.28
25,2014-06-30,741757937.15,533454132.75,208303804.4,5133223.81
25,2014-12-31,806324777.8,603994417.71,202330360.09,9189872.48
25,2015-06-30,1143974813.03,300815736.4,843159076.63,8497989.68
25,2015-12-31,1168667927.49,290079523.85,878588403.64,46898917.36
25,2016-06-30,1167329464.83,270771572.03,896557892.8,18527842.22
25,2016-12-31,1189001074.98,280464738.8,908536336.18,31800579.85
25,2017-06-30,1217998855.68,277355463.72,940643391.96,23712476.5
25,2017-12-31,1403314594.42,405291020.53,998023573.89,68235005.13
25,2018-06-30,1478584645.36,444901981.12,1033682664.24,28519617.41
26,2014-06-30,3689550705.59,2100760802.08,1588789903.51,102317486.42
26,2014-12-31,3657781647.2,2021301359.97,1636480287.23,158945019.11
26,2015-06-30,3820850106.95,2143203247.81,1677646859.14,94037793.69
26,2015-12-31,4246670045.02,1943839720.38,2302830324.64,124623997.85
26,2016-06-30,4012803246.93,1683834269.5,2328968977.43,75269564.5
26,2016-12-31,4004897562.72,1629949372.99,2374948189.73,127382433.07
26,2017-06-30,3844990865.8,1420218889.11,2424771976.69,111627803.02
26,2017-12-31,3579789692.9,1111816815.92,2467972876.98,188476340.27
26,2018-06-30,3629325363.14,1050377519.71,2578947843.43,145934384.18
27,2014-06-30,36438130181.72,17288146889.4,19149983292.32,1250921261.56
27,2014-12-31,38441387696.52,18086802548.27,20354585148.25,2252099656.37
27,2015-06-30,48776522548.17,23938295357.5,24838227190.67,1270108544.2
27,2015-12-31,58067427403.34,33199554534.11,24867872869.23,2275729539.07
27,2016-06-30,58049565045.66,34037274617.05,24012290428.61,1079355833.58
27,2016-12-31,60862186184.77,36034527626.58,24827658558.19,1870264994.43
27,2017-06-30,68015862579.02,43231717267.95,24784145311.07,592583877.72
27,2017-12-31,77230930147.81,52508333188.53,24722596959.28,1292221064.48
27,2018-06-30,78800117170.44,54492611221.92,24307505948.52,726900183.14
28,2014-06-30,12490101653.57,7949973494.71,4540128158.86,416790159.33
28,2014-12-31,12828941540.9,7977726104.25,4851215436.65,781487168.13
28,2015-06-30,13812656490.46,8633887181.44,5178769309.02,482449506.39
28,2015-12-31,13218349735.31,7651874778.04,5566474957.27,906593242.91
28,2016-06-30,14485586577.06,8480801360.91,6004785216.15,653481677.19
28,2016-12-31,21312754511.97,12398770977.86,8913983534.11,1548158519.75
28,2017-06-30,22199774990.31,12849527722.67,9350247267.64,756593606.25
28,2017-12-31,22343643527.77,12416140770.63,9927502757.14,1463890680.3
