,Stkcd,Accper,Typrep,total_assets,tptal_liability,total_equity
934,26,2015-12-31,A,4246670045.02,1943839720.38,2302830324.64
941,26,2016-06-30,A,4012803246.93,1683834269.5,2328968977.43
945,26,2016-12-31,A,4004897562.72,1629949372.99,2374948189.73
964,27,2014-06-30,A,36438130181.72,17288146889.4,19149983292.32
969,27,2014-12-31,A,38441387696.52,18086802548.27,20354585148.25
975,27,2015-06-30,A,48776522548.17,23938295357.5,24838227190.67
979,27,2015-12-31,A,58067427403.34,33199554534.11,24867872869.23
985,27,2016-06-30,A,58049565045.66,34037274617.05,24012290428.61
989,27,2016-12-31,A,60862186184.77,36034527626.58,24827658558.19
1008,28,2014-06-30,A,12490101653.57,7949973494.71,4540128158.86
1013,28,2014-12-31,A,12828941540.9,7977726104.25,4851215436.65
1019,28,2015-06-30,A,13812656490.46,8633887181.44,5178769309.02
1023,28,2015-12-31,A,13218349735.31,7651874778.04,5566474957.27
1029,28,2016-06-30,A,14485586577.06,8480801360.91,6004785216.15
1035,28,2016-12-31,A,21312754511.97,12398770977.86,8913983534.11
1052,29,2014-06-30,A,4389048260.74,2619928993.68,1769119267.06
1057,29,2014-12-31,A,4375098314.05,2341993317.9,2033104996.15
1063,29,2015-06-30,A,4462555955.87,2243066850.84,2219489105.03
1067,29,2015-12-31,A,4179937120.75,1976489324.32,2203447796.43
1073,29,2016-06-30,A,4476971687.18,2141037872.75,2335933814.43
1077,29,2016-12-31,A,3785600783.23,1269633913.35,2515966869.88
1096,30,2014-06-30,A,7279402449.33,2816141628.37,4463260820.96
1101,30,2014-12-31,A,7271114435.0,2508871951.07,4762242483.93
1107,30,2015-06-30,A,7330500516.37,2402813321.32,4927687195.05
1111,30,2015-12-31,A,8085376947.33,2780460894.36,5304916052.97
1117,30,2016-06-30,A,8468421366.94,2996172483.62,5472248883.32
1121,30,2016-12-31,A,9072987293.6,3298031506.11,5774955787.49
1140,31,2014-06-30,A,43751631416.32,34294447134.39,9457184281.93
1145,31,2014-12-31,A,46311473255.99,35646435465.79,10665037790.2
1151,31,2015-06-30,A,49554058119.46,38858959500.51,10695098618.95
1155,31,2015-12-31,A,55321650992.89,44235748544.3,11085902448.59
1161,31,2016-06-30,A,59474185119.77,48460842515.57,11013342604.2
1165,31,2016-12-31,A,61276950060.49,49989420885.34,11287529175.15
1184,32,2014-06-30,A,1410190940.03,389598635.46,1020592304.57
1189,32,2014-12-31,A,2766920133.14,1274829322.73,1492090810.41
1195,32,2015-06-30,A,1290975140.1,278973486.81,1012001653.29
1199,32,2015-12-31,A,2125737187.65,617238112.58,1508499075.07
1205,32,2016-06-30,A,1962003496.63,425514259.1,1536489237.53
1209,32,2016-12-31,A,1955415046.82,405787882.92,1549627163.9
1228,33,2014-06-30,A,508761484.77,252363540.63,256397944.14
1233,33,2014-12-31,A,467105430.4,659101263.95,-191995833.55
1238,33,2015-06-30,A,416832576.84,605016901.05,-188184324.21
1243,33,2015-12-31,A,424383658.15,414767779.6,9615878.55
1249,33,2016-06-30,A,339152605.88,327522550.61,11630055.27
1253,33,2016-12-31,A,319193188.34,296377054.6,22816133.74
1261,34,2014-06-30,A,453226687.54,297571084.01,155655603.53
1265,34,2014-12-31,A,461668045.26,296031430.39,165636614.87
1271,34,2015-06-30,A,446376584.44,257967398.98,188409185.46
1275,34,2015-12-31,A,448008298.67,261008439.78,186999858.89
1281,34,2016-06-30,A,16291523363.59,13805873440.92,2485649922.67
